no,x,y,z,boundary
1,0.0,0.0,31.5,
2,0.0,6.0,31.5,
3,0.0,13.699999999999999,31.5,
4,0.0,21.399999999999999,31.5,
5,0.0,29.100000000000001,31.5,
6,14.4,0.0,31.5,
7,14.4,6.0,31.5,
8,14.4,13.700000000000001,31.5,
9,14.4,21.399999999999999,31.5,
10,14.4,29.100000000000001,31.5,
11,17.399999999999999,0.0,31.5,
12,17.399999999999999,6.0,31.5,
13,17.399999999999999,13.699999999999999,31.5,
14,17.399999999999999,21.399999999999999,31.5,
15,17.399999999999999,29.100000000000001,31.5,
16,0.0,0.0,27.0,
17,0.0,6.0,27.0,
18,0.0,13.699999999999999,27.0,
19,0.0,21.399999999999999,27.0,
20,0.0,29.100000000000001,27.0,
21,14.4,0.0,27.0,
22,14.4,6.0,27.0,
23,14.4,13.700000000000001,27.0,
24,14.4,21.399999999999999,27.0,
25,14.4,29.100000000000001,27.0,
26,17.399999999999999,0.0,27.0,
27,17.399999999999999,6.0,27.0,
28,17.399999999999999,13.699999999999999,27.0,
29,17.399999999999999,21.399999999999999,27.0,
30,17.399999999999999,29.100000000000001,27.0,
31,0.0,0.0,22.5,
32,0.0,6.0,22.5,
33,0.0,13.699999999999999,22.5,
34,0.0,21.399999999999999,22.5,
35,0.0,29.100000000000001,22.5,
36,14.4,0.0,22.5,
37,14.4,6.0,22.5,
38,14.4,13.700000000000001,22.5,
39,14.4,21.399999999999999,22.5,
40,14.4,29.100000000000001,22.5,
41,17.399999999999999,0.0,22.5,
42,17.399999999999999,6.0,22.5,
43,17.399999999999999,13.699999999999999,22.5,
44,17.399999999999999,21.399999999999999,22.5,
45,17.399999999999999,29.100000000000001,22.5,
46,0.0,0.0,18.0,
47,0.0,6.0,18.0,
48,0.0,13.699999999999999,18.0,
49,0.0,21.399999999999999,18.0,
50,0.0,29.100000000000001,18.0,
51,14.4,0.0,18.0,
52,14.4,6.0,18.0,
53,14.4,13.700000000000001,18.0,
54,14.4,21.399999999999999,18.0,
55,14.4,29.100000000000001,18.0,
56,17.399999999999999,0.0,18.0,
57,17.399999999999999,6.0,18.0,
58,17.399999999999999,13.699999999999999,18.0,
59,17.399999999999999,21.399999999999999,18.0,
60,17.399999999999999,29.100000000000001,18.0,
61,0.0,0.0,13.5,
62,0.0,6.0,13.5,
63,0.0,13.699999999999999,13.5,
64,0.0,21.399999999999999,13.5,
65,0.0,29.100000000000001,13.5,
66,14.4,0.0,13.5,
67,14.4,6.0,13.5,
68,14.4,13.700000000000001,13.5,
69,14.4,21.399999999999999,13.5,
70,14.4,29.100000000000001,13.5,
71,17.399999999999999,0.0,13.5,
72,17.399999999999999,6.0,13.5,
73,17.399999999999999,13.699999999999999,13.5,
74,17.399999999999999,21.399999999999999,13.5,
75,17.399999999999999,29.100000000000001,13.5,
76,0.0,0.0,9.0,
77,0.0,6.0,9.0,
78,0.0,13.699999999999999,9.0,
79,0.0,21.399999999999999,9.0,
80,0.0,29.100000000000001,9.0,
81,14.4,0.0,9.0,
82,7.2000000000000002,0.0,4.5,
83,14.4,6.0,9.0,
84,7.2000000000000002,6.0,4.5,
85,14.4,13.700000000000001,9.0,
86,7.2000000000000002,13.700000000000001,4.5,
87,14.4,21.399999999999999,9.0,
88,7.2000000000000002,21.399999999999999,4.5,
89,14.4,29.100000000000001,9.0,
90,7.2000000000000002,29.100000000000001,4.5,
91,17.399999999999999,0.0,9.0,
92,17.399999999999999,6.0,9.0,
93,17.399999999999999,13.699999999999999,9.0,
94,17.399999999999999,21.399999999999999,9.0,
95,17.399999999999999,29.100000000000001,9.0,
96,0.0,0.0,4.5,
97,0.0,6.0,4.5,
98,0.0,13.699999999999999,4.5,
99,0.0,21.399999999999999,4.5,
100,0.0,29.100000000000001,4.5,
101,14.4,0.0,4.5,
102,14.4,6.0,4.5,
103,14.4,13.700000000000001,4.5,
104,14.4,21.399999999999999,4.5,
105,14.4,29.100000000000001,4.5,
106,17.399999999999999,0.0,4.5,
107,17.399999999999999,6.0,4.5,
108,17.399999999999999,13.699999999999999,4.5,
109,17.399999999999999,21.399999999999999,4.5,
110,17.399999999999999,29.100000000000001,4.5,
111,0.0,0.0,0.0,
112,0.0,6.0,0.0,
113,0.0,13.699999999999999,0.0,
114,0.0,21.399999999999999,0.0,
115,0.0,29.100000000000001,0.0,
116,7.2000000000000002,0.0,0.0,
117,7.2000000000000002,6.0,0.0,
118,7.2000000000000002,13.700000000000001,0.0,
119,7.2000000000000002,21.399999999999999,0.0,
120,7.2000000000000002,29.100000000000001,0.0,
121,14.4,0.0,0.0,
122,14.4,6.0,0.0,
123,14.4,13.700000000000001,0.0,
124,14.4,21.399999999999999,0.0,
125,14.4,29.100000000000001,0.0,
126,17.399999999999999,0.0,0.0,
127,17.399999999999999,6.0,0.0,
128,17.399999999999999,13.699999999999999,0.0,
129,17.399999999999999,21.399999999999999,0.0,
130,17.399999999999999,29.100000000000001,0.0,
131,0.0,0.0,35.0,
132,0.0,6.0,35.0,
133,0.0,13.699999999999999,35.0,
134,0.0,21.399999999999999,35.0,
135,0.0,29.100000000000001,35.0,
136,14.4,0.0,35.0,
137,14.4,6.0,35.0,
138,14.4,13.700000000000001,35.0,
139,14.4,21.399999999999999,35.0,
140,14.4,29.100000000000001,35.0,
141,17.399999999999999,0.0,35.0,
142,17.399999999999999,6.0,35.0,
143,17.399999999999999,13.699999999999999,35.0,
144,17.399999999999999,21.399999999999999,35.0,
145,17.399999999999999,29.100000000000001,35.0,
